trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-125.90974890269182,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-123.51870500162235,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-162.00036261400098,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-45.712134924146625,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-170.268857351374,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,4,-6.588414324145019,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-24.934971592049166,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,9.28353284028978,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,4,-136.71614172877767,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-50.444805061699434,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,2,-68.38701994964902,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,9,-18.260958522231107,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,-54.24503386667571,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,15,-2.1543032759268037,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,18,10.106407708566996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,-7.097710830585363,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,7,-19.413643894751473,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,19.857323855774013,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,5.624740618480813,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,9.373738545272731,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-7.409677214556798,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,13,15.74107180111473,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,20.04354610426192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,9,27.08613095245672,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,5,14.751535644541736,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,-63.480908808083576,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,14,17.952405682511777,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,-9.365660958132604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,1,-13.46373013320322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,8,35.68313329219275,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
