trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 0.9801986733067553}",20,0,-82.20962962792412,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.45, 'e': 0.9607894391523232}",20,0,-79.75156091033729,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.45, 'e': 0.9417645335842487}",20,0,-125.22333656059428,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.45, 'e': 0.9231163463866358}",30,0,-179.67994623472273,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.45, 'e': 0.9048374180359595}",25,10,-28.57807364757176,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.45, 'e': 0.8869204367171575}",20,0,-100.39546838560027,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.45, 'e': 0.8693582353988059}",30,0,-81.4276072958446,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.45, 'e': 0.8521437889662113}",25,0,-74.39263075966137,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.45, 'e': 0.835270211411272}",20,0,-96.09052883006292,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.45, 'e': 0.8187307530779818}",20,0,-41.60770985626281,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.45, 'e': 0.8025187979624785}",20,0,-38.23640823760021,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.45, 'e': 0.7866278610665535}",20,0,-103.3914183394181,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.45, 'e': 0.7710515858035663}",30,0,-73.99765125456376,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.45, 'e': 0.7557837414557255}",20,0,-46.94193056988926,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.45, 'e': 0.7408182206817179}",20,0,-26.197907244702936,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.45, 'e': 0.7261490370736909}",25,0,-115.72095622567969,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
17,False,"{'a': 0.45, 'e': 0.7117703227626097}",25,0,-142.09346911375422,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.45, 'e': 0.697676326071031}",25,3,-44.19679947607179,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.45, 'e': 0.6838614092123558}",30,12,-66.24900153528422,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.45, 'e': 0.6703200460356393}",25,0,-149.09547187658595,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
21,False,"{'a': 0.45, 'e': 0.6570468198150567}",25,15,-3.493396118273041,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.45, 'e': 0.6440364210831414}",20,0,-13.9487819794109,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.45, 'e': 0.631283645506926}",25,0,-69.49639183987621,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
24,False,"{'a': 0.45, 'e': 0.6187833918061408}",20,0,4.9182764067330895,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.45, 'e': 0.6065306597126334}",20,0,-96.36352185137703,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.45, 'e': 0.5945205479701944}",25,0,-30.881796730284417,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.45, 'e': 0.5827482523739896}",35,0,-90.29424163786254,"{0: 26, 1: 4, 2: 2, 3: 2, 4: 1}",0
28,False,"{'a': 0.45, 'e': 0.5712090638488149}",25,7,-8.420169414099782,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.45, 'e': 0.559898366565402}",25,0,-48.37961199825862,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.45, 'e': 0.5488116360940265}",25,7,-19.6743023813267,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.45, 'e': 0.5379444375946745}",25,14,-15.751536283187708,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.45, 'e': 0.5272924240430485}",25,9,-7.740706533165864,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.45, 'e': 0.5168513344916992}",20,13,14.154840746823796,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.45, 'e': 0.5066169923655895}",25,8,-25.051851156560726,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
35,False,"{'a': 0.45, 'e': 0.49658530379140947}",20,10,14.416178113147502,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.45, 'e': 0.4867522559599717}",20,0,26.39605471991882,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.45, 'e': 0.4771139155210344}",25,8,-22.82603851909861,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.45, 'e': 0.46766642700990924}",25,18,5.348015065923669,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.45, 'e': 0.4584060113052235}",20,12,-10.348902095273111,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.45, 'e': 0.44932896411722156}",25,2,-3.8383140375760365,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
41,False,"{'a': 0.45, 'e': 0.44043165450599925}",30,12,-94.57673610341301,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 1}",1
42,False,"{'a': 0.45, 'e': 0.43171052342907973}",25,12,-2.0925393881789383,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.45, 'e': 0.4231620823177488}",25,13,-1.2680694904701375,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.45, 'e': 0.4147829116815814}",25,0,-78.8030538771304,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.45, 'e': 0.4065696597405991}",20,10,18.637613480063774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.45, 'e': 0.39851904108451414}",25,5,-24.397329676397515,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.45, 'e': 0.3906278353585211}",20,0,-3.556517985426098,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.45, 'e': 0.38289288597511206}",30,10,12.204815919619016,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.45, 'e': 0.37531109885139957}",25,10,2.9682907158417784,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.45, 'e': 0.36787944117144233}",20,9,10.669633867505723,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.45, 'e': 0.3605949401730783}",30,0,-23.19466579918371,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
52,False,"{'a': 0.45, 'e': 0.35345468195878016}",20,15,6.378062522312954,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.45, 'e': 0.3464558103300574}",35,15,-31.594504687491693,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.45, 'e': 0.3395955256449391}",20,0,16.8969172754719,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.45, 'e': 0.33287108369807955}",25,10,30.05355950846716,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.45, 'e': 0.32627979462303947}",20,11,-8.5853619869409,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.45, 'e': 0.31981902181630384}",25,14,22.932895349155547,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.45, 'e': 0.3134861808826053}",20,6,-10.337846381859803,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.45, 'e': 0.30727873860113125}",25,8,-14.452154414533979,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.45, 'e': 0.30119421191220214}",25,15,-27.25981481099321,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.45, 'e': 0.2952301669240142}",25,0,-48.534661224262074,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.45, 'e': 0.2893842179390506}",20,10,-99.29000037119646,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
63,False,"{'a': 0.45, 'e': 0.2836540264997704}",20,0,-17.424401112592818,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.45, 'e': 0.27803730045319414}",35,24,19.325275224733954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.45, 'e': 0.2725317930340126}",20,10,-6.388683028356007,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.45, 'e': 0.26713530196585034}",30,2,19.762218150871952,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.45, 'e': 0.261845668580326}",20,15,-3.3004988685340626,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.45, 'e': 0.2566607769535559}",20,5,-13.133170455072943,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.45, 'e': 0.25157855305975646}",35,0,-38.01367639344876,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.45, 'e': 0.24659696394160643}",25,14,6.101523443452758,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.45, 'e': 0.24171401689703645}",25,7,15.714750950991842,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.45, 'e': 0.23692775868212176}",25,0,36.0856965226382,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.45, 'e': 0.23223627472975883}",20,0,-1.051273737863152,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
74,False,"{'a': 0.45, 'e': 0.22763768838381274}",20,2,-22.761281117543124,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.45, 'e': 0.22313016014842982}",30,6,23.817688893106023,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.45, 'e': 0.21871188695221475}",25,9,20.121240882721196,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.45, 'e': 0.21438110142697794}",35,18,-37.77528772236896,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
