trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-246.4631953022789,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.4096240028331,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.75906703139418,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.2880643808296,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.71846559832261,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.77062749750885,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.3736788632603,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.73878579859743,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,6,-79.44734075147746,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.10063099041217,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.32953196971923,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,9,-122.27821735223019,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.11358307020512,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.30641566316856,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.169436302685625,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.76556214604022,"{0: 20, 1: 4, 2: 5, 3: 4, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.80980243130472,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.86746356697806,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.18671413923305,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.58530286693623,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,9,-74.5329707521345,"{0: 7, 1: 1, 2: 0, 3: 2, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-195.4340579345263,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.4508792285097,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.6139215548206,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-185.3471064941803,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.2385383431578,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-219.72441930675856,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-101.05201430406389,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.86724776929981,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-215.2657690239717,"{0: 18, 1: 4, 2: 2, 3: 2, 4: 4}",0
